Submitted identifier,Found identifier,Resource
SLC35B3,Q9H1N7,UNIPROT
MT-ND6,ENST00000361681,ENSEMBL
MT-ND6,P03923,UNIPROT
SLC35B2,Q8TB61,UNIPROT
SLC23A2,Q9UGH3,UNIPROT
MT-ND4L,ENST00000361335,ENSEMBL
SLC46A1,Q96NT5,UNIPROT
MT-ND4,ENST00000361381,ENSEMBL
MT-ND4,P03905,UNIPROT
SLC35B4,Q969S0,UNIPROT
MT-ND5,P03915,UNIPROT
MT-ND5,ENST00000361567,ENSEMBL
MT-CO1,P00395,UNIPROT
MT-CO1,ENST00000361624,ENSEMBL
SLC23A1,Q9UGH3,UNIPROT
SLC23A1,Q9UHI7,UNIPROT
SLC4A1,P02730,UNIPROT
SLC4A2,P04920,UNIPROT
SLC4A3,P48751,UNIPROT
MT-ND2,ENST00000361453,ENSEMBL
MT-ND2,P03891,UNIPROT
SLC4A4,Q9Y6R1,UNIPROT
MT-ND3,P03897,UNIPROT
MT-ND3,ENST00000361227,ENSEMBL
SLC4A5,Q9BY07,UNIPROT
MT-ND1,P03886,UNIPROT
MT-ND1,ENST00000361390,ENSEMBL
CKMT1B,P12532,UNIPROT
SLC12A6,Q9UHW9,UNIPROT
SLC12A7,Q9Y666,UNIPROT
SLC34A3,Q8N130,UNIPROT
SLC34A2,O95436,UNIPROT
SLC6A19,Q695T7,UNIPROT
MECR,Q9BV79,UNIPROT
SLC6A18,Q96N87,UNIPROT
SLC11A1,P49279,UNIPROT
SLC6A15,Q9H2J7,UNIPROT
SLC34A1,Q06495,UNIPROT
SLC35C2,Q9P218,UNIPROT
SLC6A14,Q9UN76,UNIPROT
SLC11A2,P49281,UNIPROT
SLC35C1,Q96A29,UNIPROT
SLC6A13,Q9NSD5,UNIPROT
SLC6A12,P48065,UNIPROT
SLC6A11,P48066,UNIPROT
SLC51A,Q86UW1,UNIPROT
SLC51B,Q86UW2,UNIPROT
SLC5A6,Q9Y289,UNIPROT
SLC5A7,Q9GZV3,UNIPROT
SLC5A8,Q8N695,UNIPROT
SLC5A9,Q2M3M2,UNIPROT
MT-CO2,ENST00000361739,ENSEMBL
MT-CO2,P00403,UNIPROT
MT-CO3,ENST00000362079,ENSEMBL
MT-CO3,P00414,UNIPROT
SLC22A4,Q9H015,UNIPROT
SLC22A4,O76082,UNIPROT
SLC22A3,O75751,UNIPROT
SLC22A6,Q4U2R8,UNIPROT
SLC45A2,Q9UMX9,UNIPROT
SLC45A3,Q96JT2,UNIPROT
SLC22A5,O76082,UNIPROT
SLC35D1,Q9NTN3,UNIPROT
SLC22A2,O15245,UNIPROT
SLC22A2,O15244,UNIPROT
SLC22A1,O15245,UNIPROT
SLC35D2,Q76EJ3,UNIPROT
SLC35D2,Q9NTN3,UNIPROT
SLC5A1,P13866,UNIPROT
SLC5A1,Q9NY91,UNIPROT
SLC5A2,P31639,UNIPROT
SLC6A20,Q9NP91,UNIPROT
SLC30A10,Q6XR72,UNIPROT
SLC5A3,P53794,UNIPROT
SLC5A4,Q9NY91,UNIPROT
SLC5A5,Q92911,UNIPROT
PTPMT1,Q8WUK0,UNIPROT
SLC19A3,Q9BZV2,UNIPROT
SLC19A1,P41440,UNIPROT
PCK2,Q16822,UNIPROT
PCK2,Q16513,UNIPROT
SLC19A2,O60779,UNIPROT
SLC10A6,Q3KNW5,UNIPROT
SLC10A1,Q14973,UNIPROT
SLC10A2,Q12908,UNIPROT
SLC33A1,O00400,UNIPROT
SLC16A10,Q8TF71,UNIPROT
SLC6A5,Q9Y345,UNIPROT
SLC6A5,P23975,UNIPROT
SLC6A6,P31641,UNIPROT
SLC6A7,Q99884,UNIPROT
SLC6A8,P48029,UNIPROT
SLC6A9,P48067,UNIPROT
SLC22A8,Q8TCC7,UNIPROT
SLC22A7,Q9Y694,UNIPROT
SLC44A5,Q8NCS7,UNIPROT
SLC44A3,Q8N4M1,UNIPROT
GFM1,Q96RP9,UNIPROT
SLC44A4,Q53GD3,UNIPROT
SLC44A1,Q8WWI5,UNIPROT
GFM2,Q969S9,UNIPROT
SLC44A2,Q8N4M1,UNIPROT
SLC44A2,Q8IWA5,UNIPROT
SLC7A11,Q9UPY5,UNIPROT
TFB1M,Q8WVM0,UNIPROT
TFB1M,ENSG00000029639,ENSEMBL
SLC6A1,P30531,UNIPROT
SLC7A10,Q9NS82,UNIPROT
SLC6A2,P23975,UNIPROT
SLC6A3,Q01959,UNIPROT
SLC6A4,P31645,UNIPROT
SLC22A12,Q96S37,UNIPROT
MT-ATP6,ENST00000361899,ENSEMBL
MT-ATP6,P00846,UNIPROT
SLC22A13,Q9Y226,UNIPROT
SLC22A15,Q8IZD6,UNIPROT
SLC22A16,Q86VW1,UNIPROT
SLC22A17,Q8WUG5,UNIPROT
SLC22A18,Q96BI1,UNIPROT
TK2,O00142,UNIPROT
SLC18A1,P54219,UNIPROT
SLC18A2,Q05940,UNIPROT
SLC22A11,Q9NSA0,UNIPROT
SLC18A3,Q16572,UNIPROT
SLC2A14,Q8TDB8,UNIPROT
SLC2A11,Q9BYW1,UNIPROT
SLC32A1,Q9H598,UNIPROT
SLC2A10,O95528,UNIPROT
SLC2A13,Q96QE2,UNIPROT
SLC2A12,Q8TD20,UNIPROT
SLC39A10,Q9ULF5,UNIPROT
TFB2M,ENSG00000162851,ENSEMBL
TFB2M,Q9H5Q4,UNIPROT
SLC39A14,P48454,UNIPROT
SLC39A14,Q15043,UNIPROT
SLC7A5,Q01650,UNIPROT
SLC7A6,Q92536,UNIPROT
SLC7A7,Q9UM01,UNIPROT
SLC7A8,Q9UHI5,UNIPROT
SLC7A9,P82251,UNIPROT
SLCO4A1,Q96BD0,UNIPROT
SLC29A4,Q7RTT9,UNIPROT
PGAM5,Q96HS1-2,UNIPROT
SLC29A1,Q99808,UNIPROT
SLC29A3,Q9BZD2,UNIPROT
SLC29A2,Q9UJQ4,UNIPROT
